datetime,cpu_percent,ram_percent,ram_used_gb,net_sent_kb
2026-04-28 23:43:06,8.3,59.9,9.49,0.0
2026-04-28 23:43:08,7.2,59.9,9.50,0.7
2026-04-28 23:43:10,13.1,59.9,9.49,11.1
2026-04-28 23:43:12,6.0,58.9,9.33,17.9
2026-04-28 23:43:14,8.8,59.0,9.35,11.5
2026-04-28 23:43:16,15.5,59.3,9.39,52.1
2026-04-28 23:43:18,20.7,59.5,9.43,29.6
2026-04-28 23:43:20,5.4,59.6,9.43,62.9
2026-04-28 23:43:22,5.8,59.5,9.43,4.6
2026-04-28 23:43:24,8.5,59.5,9.43,6.8
2026-04-28 23:43:26,3.7,59.4,9.41,4.9
2026-04-28 23:43:28,1.3,59.4,9.41,6.9
2026-04-28 23:43:30,3.0,59.4,9.41,1.0
2026-04-28 23:43:32,5.7,59.4,9.41,0.2
2026-04-28 23:43:34,11.0,59.4,9.42,1.2
